text,label
Who starred in Singing in the Rain and The Singing Nun ?,1
How do I make fuel bricks from recycled newspaper ?,1
What 19th-century painter died in the Marquesas Islands ?,1
The corpus callosum is in what part of the body ?,1
How do I log on to home page at Headquarters U.S. European Command ?,1
"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",1
What is Nebraska 's most valuable resource ?,1
How many species of the Great White shark are there ?,1
What is the origin of head lice ?,1
What is the nickname for the state of Mississippi ?,1
What was the first domesticated bird ?,1
How many villi are found in the small intestine ?,1
What country did King Wenceslas rule ?,1
What is a fear of shadows ?,1
Who were the five Marx brothers ?,1
In which year was New Zealand excluded from the ANZUS alliance ?,1
When did CNN begin broadcasting ?,1
What causes the body to shiver in cold temperatures ?,1
What are bear and bull markets ?,1
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,1
What is `` dew point '' ?,1
What is the meaning of Jesus ?,1
What company 's logo is a `` W '' in a circle ?,1
What is the definition of a cascade ?,1
When did Rococo painting and architecture flourish ?,1
What country 's national passenger rail system is called Via ?,1
Who invented Make-up ?,1
What is the origin of the word `` attic '' ?,1
What did Delilah do to Samson 's hair ?,1
What kind of animals were in the Paleozoic era ?,1
Which of the following was Rhodes Scholar ?,1
Who comprised the now-defunct comic book team known as the Champions ?,1
How do you make a paintball ?,1
What U.S. state is Fort Knox in ?,1
What is a female rabbit called ?,1
Where is the highest point in Japan ?,1
Where do chihuahuas come from ?,1
Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?,1
What are the world 's four oceans ?,1
What 's the only work by Michelangelo that bears his signature ?,1
What is the largest snake in the world ?,1
In what medium is Stuart Hamblen considered to be the first singing cowboy ?,1
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,1
How much money does a back injury lawsuit get ?,1
What 's the common name for acetylsalicylic acid ?,1
What does the Georgetown `` Hoya '' mean ?,1
Where can I find a list of `` classic '' books 5th and 6th graders should read ?,1
Which two products use a tiger as their symbol ?,1
How is the election of a new Pope announced to the world ?,1
How long does it take for your blood to make one complete trip through the body ?,1
How do chickens have baby chicks ?,1
What is the historical relationship of Catholic Church and bingo ?,1
How was the element calcium named ?,1
What crooner joined The Andrews Sisters for Pistol Packin Mama ?,1
What piano company claims its product is the `` Instrument of the immortals '' ?,1
When did the Bounty mutiny take place ?,1
What novel inspired the movie BladeRunner ?,1
What is a transistor ?,1
What is a film starring Jude Law ?,1
What Hollywood dog died in the arms of Jean Harlow in 1932 ?,1
What are the most common elements in the Earth 's crust ?,1
"How much would it cost to purchase a 2-foot-square party tent , with sides , ?",1
What actress has received the most Oscar nominations ?,1
What are equity securities ?,1
What is gymnophobia ?,1
How many years do fossils take to form ?,1
Where is the Orinoco ?,1
What was the name of the `` Little Rascals '' dog ?,1
"What city boasts Penn 's Landing , on the banks of the Delaware river ?",1
What Broadway musical was inspired by Cervantes 's Don Quixote ?,1
"What is the origin of the word , JJ .",1
How many hostages were killed in the Entebbe raid ?,1
How you can raise your IQ ?,1
What does INRI stand for when used on Jesus ' cross ?,1
Who produces Spumante ?,1
Who earns their money the hard way ?,1
Who founded the People 's Temple Commune ?,1
What athlete makes the most money from sports merchandise sales ?,1
How many bends are there in a standard paper clip ?,1
Who discovered electricity ?,1
What part of your body contains the corpus callosum ?,1
Who was the first American in space ?,1
What two South American countries do n't border Brazil ?,1
What album put The Beatles on the cover of Time in 1967 ?,1
"What poem contains the line , `` grow old with me the best is yet to be '' .",1
What is a dental root canal ?,1
What war did the Wanna-Go-Home Riots occur after ?,1
What is the busiest air travel season ?,1
What 's the colored part of the eye called ?,1
What are hook worms ?,1
Where is the Rose Bowl played ?,1
Which Japanese car maker had its biggest percentage of sale in the domestic market ?,1
Who is the mayor of Marbella ?,1
"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?",1
In what year did Thatcher become prime minister ?,1
How many months does it take the moon to revolve around the Earth ?,1
Where are the 49 steps ?,1
In what year was De Gaulle elected president of France ?,1
Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?,1
Who directed `` Jaws '' ?,1
On what T.V. show could Tom Terrific be found ?,1
What Indian tribe is F Troop perpetually doing battle with ?,1
Where did Indian Pudding come from ?,1
Why do some clothing labels say `` Use a nonchlorine bleach '' ?,1
How many colonies were involved in the American Revolution ?,1
What is the name of the city that Maurizio Pellegrin lives in ?,1
Where can I find pictorial directions on how to build a very simple treehouse ?,1
"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?",1
What is the name of the managing director of Apricot Computer ?,1
What is the occupation of Nicholas Cage ?,1
Why do horseshoes bring luck ?,1
"What is the 401 , K , plan ?",1
What causes pneumonia ?,1
What are the three winter months in the southern hemisphere ?,1
What does gringo mean ?,1
What country contains Africa 's northernmost point ?,1
What therapy attempts to elicit the `` primal scream '' ?,1
Where is the Kalahari desert ?,1
Which Ventura County police department seized the largest cocaine shipment in it 's history ?,1
What city is sometimes called Gotham ?,1
What dangles over the tongue from the palate ?,1
Who created Dennis the Menace ?,1
What dummy received an honorary degree from Northwestern University ?,1
When was the first Wall Street Journal published ?,1
What countries have the largest areas of forest ?,1
How do I start a web based business ?,1
Name Alvin 's brothers,1
What is Eagle 's syndrome styloid process ?,1
How did Jayne Mansfield die ?,1
When did the royal wedding of Prince Andrew and Fergie take place ?,1
What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?,1
What explorer was nicknamed Iberia 's Pilot ?,1
CNN began broadcasting in what year ?,1
What is a ball that hits the foul pole called ?,1
What makes hamburgers taste like steakburgers ?,1
Which company created the Internet browser Mosaic ?,1
What are the rites accompanying the circumcision of a newly born-child in Judaism called ?,1
What was the education system in the 1960 's ?,1
What South American city has the world 's highest commercial landing field ?,1
How can I find out which cities have cable-modem access ?,1
What is Betsy Ross famous for ?,1
How many species of sharks are there ?,1
What is `` snoogans '' ?,1
How many people are there in the world ?,1
What shrubs can be planted that will be safe from deer ?,1
What organization 's offices were broken into at Watergate in 1972 ?,1
What is the design of the ship Titanic ?,1
What does S.O.S. stand for ?,1
Name a technique widely used to detect birth defects ?,1
What is the daily requirement of folic acid for an expectant mother ?,1
What is the `` 7-minute cigarette '' ?,1
What four forms does gold occur in ?,1
What is the acreage of the Chappellet vineyard ?,1
How do you correctly say the word ` qigong ' ?,1
When did beethoven die ?,1
How much does a new railroad coal car cost ?,1
What two European countries entered the War of American Independence against the British ?,1
What is the filmmakers collabrative ?,1
What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?,1
What caused Harry Houdini 's death ?,1
"Who was the mother of the man who would not be king , the duke of Windsor ?",1
How many revolutions does a standard LP make in three minutes ?,1
What is the name of the tallest mountain in the world ?,1
Where can I find a review of Nightmare on Elm Street in a film journal ?,1
What 's the slowest Olympic swimming stroke ?,1
What was the name of the first Russian astronaut to do a spacewalk ?,1
What disease is transmitted by the Anopheles mosquito ?,1
What rum is so `` mixable '' it is a one-brand bar ?,1
How many South American countries have the letter Z in their names ?,1
What is the contents of proposition 98 ?,1
Where was George Washington born ?,1
"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .",1
Who wrote NN DT NNP NNP '' ?,1
What is paracetamol ?,1
What are the powers and weaknesses of Green Lantern 's ring ?,1
"Which mosquito 's bite draws blood , DT NN CC DT NN .",1
When was the first steel mill in the United States built ?,1
What diminutive American female gymnast stole the show at the 1984 Olympics ?,1
What is the origin of the name Katie ?,1
"What schools in the Washington , DC NN NN VBP NN NN NN NN .",1
When did the Berlin Wall go up ?,1
Who is Terrence Malick ?,1
What instrument is Ray Charles best known for playing ?,1
"What 's the meaning of the Latin battle cry : Ad arma , ad arma .",1
What is the mascot for Notre Dame University ?,1
"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?",1
When did Mount St. Helen last have a significant eruption ?,1
CNN is the abbreviation for what ?,1
When did World War I start ?,1
How many feet are there in a fathom ?,1
What is a Canada two-penny black ?,1
What European city do Nicois live in ?,1
How can I find out what year a Beanie Baby was introduced ?,1
What is the classic definition of tragic hero ?,1
To what does Microsoft 's Windows 3 owe its success ?,1
Who was President of Afghanistan in 1994 ?,1
"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?",1
What did brontosauruses eat ?,1
What color bottles do good Rhine wines come in ?,1
Who was the lead actress in the movie ` Sleepless in Seattle ' ?,1
Who was the 16th President of the United States ?,1
Who are the two sons of Ozzie and Harriet Nelson ?,1
What is molybdenum ?,1
When is Boxing Day ?,1
What is the lowest level of the American judiciary ?,1
When was the battle of the Somme fought ?,1
How many people did Randy Craft kill ?,1
What 's the official animal of Canada ?,1
When did Spielberg direct `` Jaws '' ?,1
What is the size of the largest akita ?,1
What animal has the biggest eyes ?,1
What is California 's capital ?,1
Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?,1
Who was the founding member of the Pink Floyd band ?,1
What European country is home to the beer-producing city of Budweis ?,1
How do I find the balance of my social security account ?,1
What is the history of Valentine 's Day cards ?,1
Where was Christopher Columbus born ?,1
What do Italians call Florence ?,1
How do you get to the top of the Eiffel Tower ?,1
What does ` PSI ' stand for ?,1
What sea did the Romans call mare nostrum ?,1
What 's the term for a bet before cards are dealt ?,1
"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?",1
What city did the Flintstones live in ?,1
What is Latin for incompetent ?,1
What chemicals are used in lethal injection ?,1
What toy company is the world 's No.1 maker of female apparel ?,1
What board game does a `` wood-pusher '' play poorly ?,1
Which Doonesbury character was likely to turn into a werewolf ?,1
What is the abbreviation for micro ?,1
What are the 7 articles of the constitution ?,1
Who has won the most Super Bowls ?,1
What does NASDAQ stand for ?,1
What is BPH ?,1
What is the fastest commercial automobile that can be bought in the US ?,1
What stadium do the Miami Dolphins play their home games in ?,1
Who has the only speaking role in `` Silent Movie '' ?,1
Why is poop sometimes different colors ?,1
What was Einstein 's IQ ?,1
What day was Pearl Harbor attacked in 1942 ?,1
What girl 's name is `` Teddy '' an affectionate form of ?,1
What state is John F. Kennedy buried in ?,1
What is the best way to remove wallpaper ?,1
What U.S. state has an element named for it ?,1
What company tabulates the ballots in voting for the Academy Awards ?,1
How did the tradition of best man start ?,1
How many years ago did the ship Titanic sink ?,1
What is the deepest area of the Arctic Ocean ?,1
What are Halloween 's colors ?,1
How is silk screening done ?,1
"What is the latitude and longitude of El Paso , Texas ?",1
Who made a boat out of gopher wood ?,1
Where can I find a `` Fifth Element '' screensaver ?,1
Which Bloom County resident wreaks havoc with a computer ?,1
How do you match a name to a social security number ?,1
How does a rainbow form ?,1
What is the normal resting heart rate of a healthy adult ?,1
What is the population of Ohio ?,1
How many calories are there in a Big Mac ?,1
Hazmat stands for what ?,1
What creature scares people in the film `` Jaws '' ?,1
What part did John Peter Zenger play in the deveopment of the newspaper in America ?,1
Who followed Caesar ?,1
What are the four elements ?,1
Who was the first woman golfer to earn a million ?,1
What 's the tallest piece on a chessboard ?,1
What is Answers.com 's address ?,1
Where can I buy movies on videotape online ?,1
Who does the advertizing for Frito-Lay ?,1
Who is the leading competitor of Trans Union Company ?,1
What product did Robert Conrad dare people to knock off his shoulder ?,1
Who invented the radio ?,1
What 's the American dollar equivalent for 8 pounds in the U.K. ?,1
What are the different approaches of systems analysis ?,1
How do doctors diagnose bone cancer ?,1
Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?,1
What is the speed of the Mississippi River ?,1
What are the developmental stages of a swimmer ?,1
What actor first portrayed James Bond ?,1
What ocean is the largest in the world ?,1
"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?",1
What year did Jack Nicklaus join the Professional Golfers Association tour ?,1
How many sonnets did Shakespeare write ?,1
What causes the redness in your cheeks when you blush ?,1
Who won the Nobel Peace Prize in 1991 ?,1
Who are the Challengers of the Unknown ?,1
Define the Pheonix Club ?,1
Which city did Christian Crusaders fight to recapture from the Muslims ?,1
What does it mean `` Rupee Depreciates '' ?,1
What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?,1
Who was the first coach of the Cleveland Browns ?,1
How successful is arometherapy ?,1
What Jewish holiday saw the start of the 1973 Mideast War ?,1
How does a copier work ?,1
What is the speed of the Mississippi River ?,1
Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?,1
What is Dudley Do-Right 's horse 's name ?,1
Who declared : `` I am down on whores and I shan 't stop ripping them '' ?,1
Where does chocolate come from ?,1
What TV game show once saw a contestant admit to picking his toes in the shower ?,1
What Soviet leader owned a Rolls-Royce ?,1
Where can I find a case on Individuals with Disabilities Education Act of 1991 ?,1
What war did Florence Nightingale tend the troops in ?,1
"Who wrote the song , `` Stardust '' ?",1
How many Beatles ' records went #1 ?,1
Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?,1
What is the abbreviation of the company name ` General Motors ' ?,1
What mountains lie between the Arkansas and Missouri rivers ?,1
Who received the Will Rogers Award in 1989 ?,1
What is the function of RAM ?,1
What 's the closest G2 Spectrum Yellow Dwarf to Earth ?,1
How many equal angles are there in an isosceles triangle ?,1
What is the fear of cockroaches called ?,1
What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?,1
What is the use of a 24-hour clock instead of a 12-hour clock ?,1
What was the name of the lawyer who represented Randy Craft ?,1
What United States President had dreamed that he was assassinated ?,1
What film did Lee Marvin win the 1965 best actor Oscar for ?,1
Where is Basque country located ?,1
What product does `` Mrs. Olsen '' promote ?,1
What time of day did Emperor Hirohito die ?,1
What is dry ice ?,1
What 's the most powerful card in Euchre ?,1
What does `` intractable plantar keratoma '' mean ?,1
How many years did it take James Joyce to write Ulysses ?,1
What crop failure caused the Irish Famine ?,1
What South Korean city is served by Kimpo International Airport ?,1
How many types of dogs ' tails are there - three,1
What is the longest-running television series ?,1
What predators exist on Antarctica ?,1
What is the difference between a generator and an alternator ?,1
How is energy created ?,1
What beer advertised that it had `` three rings '' ?,1
What is the quantity of American soldiers still unaccounted for from the Vietnam war ?,1
What golfing accessory was patented by George Grant on December 12,1
What are the different types of plastic ?,1
How is it correct to say ` qigong ' ?,1
What was the highest mountain on earth before Mount Everest was discovered ?,1
"Where was the Ligurian Republic , 1797-185 , ?",1
What country 's people are the top television watchers ?,1
When was the women 's suffrage amendment ratified ?,1
What Polynesian people inhabit New Zealand ?,1
What movie tour of the Roman empire features the admonition : `` Row well and live '' ?,1
What Nevada center has been dubbed The Biggest Little City in the World ?,1
"What President lived at 219 North Delaware Street , Independence , Missouri ?",1
Give a reason for American Indians oftentimes dropping out of school .,1
Where must a soccer goalie stand to be permitted to handle the ball ?,1
What is the difference between classical conditioning and operant conditioning ?,1
In what U.S. state was the first woman governor elected ?,1
What are some interesting facts and information about dogsledding ?,1
What year did Hitler die ?,1
What famous model was married to Billy Joel ?,1
What kind of animal is Babar ?,1
What is Jane Goodall known for ?,1
What killed Bob Marley ?,1
How much money are Dumbo 's ears insured for ?,1
Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?,1
Who is Stein Eriksen ?,1
What does the name Billie mean ?,1
Who is the fastest swimmer in the world ?,1
What is the highest peak in Africa ?,1
Where is Procter & Gamble headquartered in the U.S. ?,1
What desert has been called The Garden of Allah ?,1
What do bicornate animals have two of ?,1
What function does a community 's water tower serve ?,1
What is a fear of weakness ?,1
How many miles is it to Ohio from North Carolina ?,1
How much snow equals an inch of rain ?,1
What does G.M.T. stand for ?,1
What does Inuit and Eskimo mean ?,1
What song served as the closing theme of The Johnny Cash Show ?,1
What field sport did dentist William Beers promote and write a standard book of rules for ?,1
How do I tie dye clothes ?,1
When does the average teenager first have intercourse ?,1
Why doesn 't www.answers.com have any answers to my questions ?,1
What actor 's autobiography is titled All My Yesterdays ?,1
What Russian master spy lived in the U.S. under the name Emil Goldfus ?,1
Where 's the 19th hole on a golf course ?,1
What 's nature 's purpose for tornadoes ?,1
Who played the original Charlie 's Angels ?,1
Where can I find a person 's address from a telephone number ?,1
"What English word comes from the Old French covrefeu , meaning cover fire ?",1
What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,1
Where did Sarge Steel get his metal hand ?,1
What makes popcorn pop ?,1
Who wrote The Night of the Iguana ?,1
Where does your hair grow the fastest ?,1
What country did King Gustav V reign over from 197 to 195 ?,1
Who painted Mother and Child ?,1
What is the speed of the Mississippi River ?,1
In what area of the world was the Six Day War fought ?,1
What is the brightest star visible from Earth ?,1
What film marked Robert Redford 's directorial debut ?,1
What was Mao 's second name ?,1
What film or films has Jude Law appeared in ?,1
Where do hyenas live ?,1
Who is the `` Queen Mother '' ?,1
What 's the most commonly-spoken language in Belgium ?,1
Who has more DNA - a man or a woman ?,1
What are Maid-Rites ?,1
"What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?",1
What level of government or governmental agency is responsible for dealing with racism ?,1
How many referees work a soccer game ?,1
What cocktail do you concoct with whisky and sweet vermouth ?,1
How do you say `` fresh '' in Spanish ?,1
What do bee hives do in cranberry bogs ?,1
What caused the Lynmouth floods ?,1
When is the Tulip Festival in Michigan ?,1
"Who came up with the name , El Nino ?",1
What movie did Madilyn Kahn star in with Gene Wilder ?,1
What type of bridge is the Golden Gate Bridge ?,1
What dictator has the nickname `` El Maximo '' ?,1
What stereo manufacturer is `` Slightly ahead of its time '' ?,1
What U.S. city is The Queen of the Pacific ?,1
What TV sitcom character had the maiden name Ethel Potter ?,1
What was the first Lifesaver flavor ?,1
Who kept the most famous diary in the English language ?,1
Where can I find out the top 1 singles ?,1
How many degrees cooler is the inside of a cucumber than the air outside ?,1
What Spanish artist painted Crucifixion ?,1
What is the Jewish bible called ?,1
Why is the grass green ?,1
What is a firewall ?,1
What spy novelist served as Moscow correspondent for Reuter and The Times of London ?,1
Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?,1
How long does it take for Spider-Man 's web to evaporate ?,1
Who was Randy Steven Craft 's lawyer ?,1
What was known as the Spice Island ?,1
Who was the first host of Person to Person ?,1
Name the Ranger who was always after Yogi Bear .,1
"What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?",1
What does the Statue of Liberty wear on her feet ?,1
Who is the superstar in rent-a-cars ?,1
McCarren Airport is located in what city ?,1
"What household facility contains a float ball , ballcock , and overflow tube ?",1
What was the name of Betty Boop 's dog ?,1
What fraction of a beaver 's life is spent swimming ?,1
What was the Bridge of San Luis Rey made of ?,1
What do economists do ?,1
What country has the largest sheep population ?,1
"What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?",1
What country is the world 's largest importer of cognac ?,1
How many years is Johnnie Walker Black Label aged ?,1
What does SIDS stand for ?,1
What is Grenada 's main commodity export ?,1
"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it , ?",1
What makes a clitoris sensitive ?,1
"What country has the most time zones , with 11 ?",1
What `` magic '' does Mandrake employ ?,1
Who is the president of Stanford University ?,1
Whose first presidential order was : `` Let 's get this goddamn thing airborne '' ?,1
"What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?",1
What city is Logan Airport in ?,1
What is a nanometer ?,1
How many innings are there in a regulation softball game ?,1
When did CNN go on the air ?,1
What is the largest city on the Great Lakes ?,1
What is the telephone number for the University of Kentucky ?,1
Who invented baseball ?,1
How many wives did Brigham Young have ?,1
What product on the market is good for hiding facial scars ?,1
How long is the Coney Island boardwalk ?,1
What city gained renown for its pea-soup fogs ?,1
What does `` Janelle '' mean ?,1
How do I get another city 's newspaper ?,1
Name a movie about the Sioux Indians starring Kevin Costner .,1
"Who was shot in the back during a Poker game in Deadwood , the Dakota territory ?",1
What are the distinct physical characterstics of the Arabian horse ?,1
What is a fear of thunder ?,1
What animal has killed the most people ?,1
How many colleges are in Wyoming ?,1
What Russian seaport has a name meaning `` Lord of the East '' ?,1
Where can stocks be traded on-line ?,1
When was the Battle of Hastings ?,1
What kind of file has the extension .dbf ?,1
When did Muhammad live ?,1
"What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?",1
What is a wop ?,1
Where do rocks come from ?,1
How do I stop background noise in a car stereo ?,1
Where do people mountain climb in Nepal ?,1
What is the best college in the country ?,1
What is viscosity ?,1
What was the name of the sitcom that Alyssa Milano starred in with Tony Danza ?,1
What are the Nordic nations ?,1
Where on the Internet can I get information about the Fifth Amendment on the American Bill of Rights ?,1
What U.S. state borders Illinois to the north ?,1
Name a film in which Jude Law acted .,1
What is the temperature for baking Peachy Oat Muffins ?,1
What is a fear of bees ?,1
What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?,1
What is a green bog ?,1
Where did the myth of Santa Claus originate ?,1
What does a chairbound basophobic fear ?,1
What city is served by Logan International Airport ?,1
What wrestling star became `` The Incredible Hulk '' ?,1
What attracts tourists to Reims ?,1
What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?,1
What fastener did Whitcomb Judson patent in 1893 ?,1
What 's an auberge in France ?,1
Who was the star of the 1965 Broadway hit Golden Boy ?,1
Where is Procter & Gamble based in the U.S. ?,1
What army was founded by William Booth and his wife Catherine ?,1
What does ribavirin consist of ?,1
Name the soft drink that is `` number one in the sun . '',1
What is the web address of the list of e-mail addresses of members of the House of Representatives ?,1
What was her real name ?,1
Why are the ears your center of balance ?,1
Who invented the toothbrush ?,1
What was the name of that popular song the Creeps sang ?,1
Where is the Abominable Snowman said to wander ?,1
What is a fear of being alone ?,1
How many dots make up the symbol for `` because '' ?,1
What do you get by adding Lactobacillus bulgaricus to milk ?,1
"When reading classified ads , what does EENTY : other stand for ?",1
How many hearts does an octopus have ?,1
What plant has the largest seed ?,1
What was the only country you were allowed to drive into Israel from in 1979 ?,1
What 's approaching when a cyclist shouts : `` Oil '' ?,1
"What baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?",1
What kind of sport is often associated with hooligans ?,1
What video game hero do some of his fans call Chomper ?,1
How many holes are there in a tenpin bowling ball ?,1
What is the longest word in the English language ?,1
In What city or state do the most gay men live in ?,1
"What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs. Wiggins and a housewife named Eunice ?",1
What is `` the bear of beers '' ?,1
Name the operating system that runs on IBM-compatible machines .,1
What does the name `` Justin '' mean ?,1
What percentage of the body is muscle ?,1
What color of dry wine should be served with veal roasts and chops ?,1
What is a golf ball made of ?,1
What is the Amish religion ?,1
What does an average daycare provider get paid in New England ?,1
What was the name of the 187s Irish terrorist group in Pennsylvania mining areas ?,1
Who played the Ringo Kid in the 1939 film Stagecoach ?,1
Who died 1 feet from where John F. Kennedy did ?,1
What is the `` coppertop '' battery ?,1
What sign is The Water Carrier the zodiacal symbol for ?,1
What animals do you find in the stock market ?,1
What is color ?,1
When is the site www.questions.com going to open ?,1
What did Shostakovich write for Rostropovich ?,1
What first name was Nipsy Russell given at birth ?,1
How can I get some free technical information on Electric Vehicle ?,1
Who is the youngest of the Beatles ?,1
How did shipyard inspector James J. Kilroy designate equipment as being satisfactory ?,1
What is a Jellicle Cat ?,1
Where can I find the best free evidence for debate about Russia ?,1
What is Bill Gates of Microsoft E-mail address ?,1
What is the second hardest substance ?,1
Why did several San Diego schools stop serving apples to students ?,1
What Russian city boasts the Hermitage Museum ?,1
When is Bastille Day ?,1
What makes a tornado turn ?,1
How many shots can a stock M16 hold ?,1
What two colors are you blind to if you suffer from protanopia ?,1
Why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ?,1
Who is Coronado ?,1
What was the name of the movie that starred Sharon Stone and Arnold Schwarzenegger ?,1
What is artificial intelligence ?,1
What do flatfish eat ?,1
Who was the first Holy Roman Emperor ?,1
What can I use to remove the stubborn gummed labels from some diskettes ?,1
What day of the week sees the most fatal car accidents ?,1
"What is the origin of the word , magic ?",1
What sport do you shag flies in ?,1
What is white chocolate ?,1
Where is Trinidad ?,1
Name the organization that is presided by a Security Council .,1
"Who graced the airwaves with such pearls as `` Do ya lo-o-ove me ? Get naked , baby ! '' ?",1
What kind of wine is Spumante ?,1
Who portrayed portly criminologist Carl Hyatt on Checkmate ?,1
How do you say I love you in Spanish ?,1
What does the name Gina mean ?,1
What is the most advanced handheld calculator in the world ?,1
How fast is light ?,1
What is the belt of low pressure around the equator called ?,1
What are shooting stars ?,1
Whom did the Chicago Bulls beat in the 1993 championship ?,1
When was the first American encyclopedia published ?,1
What 's the tallest building in New York City ?,1
How is Easter Sunday 's date determined ?,1
What is the Motto for the State of Maryland ?,1
Who is Desmond Tutu ?,1
Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?,1
Name a tiger that is extinct .,1
How many quarters equal a pound ?,1
What kind of books does Fodor 's publish ?,1
"What are the first names of Rowan and Martin , the stars of TV 's Laugh-In ?",1
What chapter of the Bible has the most verses ?,1
Who is the worst US President ever ?,1
What Asian leader was known as The Little Brown Saint ?,1
What is the abbreviated expression for the National Bureau of Investigation ?,1
How fast does the fastest car go ?,1
