,Unnamed: 0,id,turn,message,is_question,gold_score,is_question_score
11202,28319,9a511a39-91f4-423c-8bbf-fe075b6fec51,3,How do I log in to online banking?,1,1,0.999462008267204
16653,42099,f1259d5b-70e7-4a30-835b-fa2adb7e4fef,3,Checking account for children,0,0,0.9038312527680030
16038,40539,5ff1bea6-2684-45f8-8adb-b61a83220f88,1,do i have to be a member to get a loan?,1,1,0.9199551914442200
32872,81954,35b6e8ec-e1d9-4b27-a35b-bdea84cc8af5,5,I really need to talk to someone in person,0,0,0.9569248469745470
6721,17223,2c78fe6b-37f7-489c-9d06-c1f1c9339f52,5,I don't know my User ID,0,0,0.809251627833292
28843,72230,f995b530-fb97-420d-9c96-a051db5ae880,3,Log in,0,0,0.8937199565410390
1962,4996,f9898f41-c38d-4f02-84fd-771a14cddb4a,1,agent,0,0,0.8078828732031510
4362,11195,d18f6061-ec28-4348-90b6-ad030a4d2f0a,9,Speak w representative,0,0,0.7453488129738890
4282,10990,1b9f933c-b5fa-4247-9952-314a2996df8d,2,What are your CD rates,1,1,0.9891371725558800
16135,40786,b34515a9-e1c1-4374-a38b-fd2cb1f7e310,2,Changing flights booked with points,0,0,0.8583531349372070
21962,55221,b6e91b5c-ea0e-419a-a921-8230177e33a4,1,online banking is not working,0,0,0.9668666383692920
15912,40225,c762e6f0-ad5c-49ec-8928-a421406db644,7,I started an application and saved it. How can I find it,1,1,0.8703336857687640
32933,82097,abd29f0b-22fc-4447-9d74-f23572378e46,3,Branch/ATM locations,0,0,0.7145940384497360
27782,69653,e5e24244-9985-4be9-9ed4-b858a6a7e8d2,1,I need to withdraw money from my account,0,0,0.9118105874319970
9323,23654,ae26c98e-0068-440b-8312-1d1fd66e8301,1,DIFFERENCE BETWEEN MEMBERSHIP SAVINGS ACCOUNT AND SHARES II SAVINGS?,0,1,0.9281061677077040
20099,50581,f5630f61-6a89-4b4a-962d-098f8cf74889,1,What is a jumbo,1,1,0.9983386352217250
31592,78838,d2870a2f-17f9-4a0e-94e6-23c1cd6bfb82,1,How long does my credit card start working again? ,1,1,0.9710910499044710
15264,38635,ed02b229-0e33-4608-8647-64dfd6cd6c78,1,How can I buy plane tickets with my points?,1,1,0.9807481904586930
7153,18257,98f69582-6ac2-4ff3-b0a9-bdd37e74b535,1,Cashing my points,0,0,0.7694454725502680
30958,77314,0a3faeff-2c6b-4074-bea3-0f9d9c58b13e,1,I would like to see my account online. Thanks,0,0,0.9433983899771300
23213,58290,afcee1ef-f1f1-495d-a045-5cb785e50ada,1,Is this a real person?,0,1,0.9945902543239260
26419,66360,f803ecab-afcd-4e7f-b9ee-cbf4b6efc141,5,dose that stop payments too?,0,1,0.8182338791866310
20681,52026,93bda27e-ebc3-4553-a03a-a53a0296ec64,3,I’m still stuck,0,0,0.8362374937684290
1632,4171,e9c7ebe2-8c91-48a9-886d-4764aad919b2,5,posh,0,0,0.7607104133583560
7103,18129,c5aa7487-7b1f-43eb-8244-0df003f4bbd7,3,I want to know more about your credit cards.,0,0,0.8384743969489000
6604,16925,9a601268-3497-4082-93f7-64b0770ebb74,9,How do I make changes to my title?,1,1,0.9985239044154850
14737,37296,31a7be9d-ebaf-4e48-9721-7c79227adeb6,1,Do i have enough points to reverse a over draft fee?,0,1,0.5731293819860480
6608,16934,71478aa0-1d0a-4088-ba4b-2f3cddd3983c,3,fees,0,0,0.7607104133583560
10439,26407,321f0e31-2e26-484c-902a-2a0420d88840,3,100 homestead road apt 9 mankato MN <NUMERICAL>,0,0,0.819193772333289
22734,57114,0feda7ec-d6fc-4a32-9e6f-2b3c29b3fc31,5,When is the Roseville Branch drive up window open?? Thank you,1,1,0.6520816583726650
31440,78473,12333d6e-a2bb-453c-b934-5be00ba66c6c,27,what is your name?,1,1,0.9996577330082160
13620,34420,85b3d276-95fb-4d56-ab82-3dc4952b612a,1,I qualified with you guys for an auto loan. I am now looking at buying from a private party. What are the next steps? How long before I have to get the title to you? The party I am buying from has to pay off their loan and then they will get the title. Please advise..,0,0,0.5371171229060200
22332,56129,30d82232-db77-4ea1-a6b8-2a7025fd7eee,3,How do I refinance?,1,1,0.9999937196778590
22676,56973,e399b31c-d079-4bc3-8a0d-a396c63b1afd,11,Can't log in,0,0,0.8051143620189310
17284,43674,2d929c48-1d92-4a48-aefe-d029ced749f6,9,What's my Member Number?,1,1,0.9993454863114390
32335,80654,58ab44bc-b792-45b0-a216-d88a335398c2,1,Hello. I lost my debit card. I called the lost card number last night to report it. They told me to call you all in the morning.,0,0,0.9513161263237410
22416,56334,527ebcb0-2867-4e81-b8b5-2912e6756cec,3,When do stimulus checks get in?,1,1,0.9999008543331690
3315,8505,3733e794-1899-4ad0-802c-5994bff92d56,3,how do I find out if someone deposited my check into their account?,1,1,0.9936178524074260
25439,63934,0ececad7-2166-4b9d-b8f1-fc3a405ad0cf,6,nce,0,0,0.7611690295994890
4580,11752,c7c3bc27-8e5a-4236-96e8-5700954b07ed,1,Skip a payment,0,0,0.7822204984240510
16125,40758,d24e7442-e06d-45d5-81e2-b8b70ba511a5,1,Verified by visa,0,0,0.8943337777227310
7018,17920,2c8d7310-cc47-4443-b76d-c17b32d5f8ee,3,No,0,0,0.9667813562102600
5988,15365,25a893af-75ab-4e53-a7e2-13d9606cf79a,1,fax # to fraud department,0,0,0.778651863383887
8654,21973,9038d376-9a25-461e-80ec-5db5a5ac78e1,1,Do I need to be a member to apply for a equity loan?,1,1,0.5327355347024830
26720,67076,741238fa-d945-4385-9deb-1654cdd0c826,7,that login and temporary password didn't work,0,0,0.8864580000591050
13636,34466,1b9f933c-b5fa-4247-9952-314a2996df8d,4,What are your cd rates,1,1,0.9891371725558800
29604,74070,485c3069-a86e-4dfd-812b-ee4680a06b92,5,Report Fraud,0,0,0.728470072470437
28642,71736,f5c8e6ef-7da9-4d36-b44d-6b15fc2d5646,3,View transactions,0,0,0.7766601625701500
19868,50030,e88de9d5-c23e-40c1-ad27-85e0b0a555d0,1,What is your ABA number?,1,1,0.9864705935590660
31320,78182,b1305ece-8947-4316-a025-ca1f0170c251,1,Stop and automatic debit ,0,0,0.9069291920938600
8710,22113,528ac420-eaed-4453-91fb-0d5307e12f16,1,security questions,0,0,0.8188717672301130
13684,34595,7f207a49-53cc-421b-8045-3e1ae31a22e2,1,I need to talk to the solutions department ,0,0,0.9287809239233280
22461,56444,9f699951-995d-4804-b135-d9f5b4c7c063,1,Credit card increase,0,0,0.744109524401013
16670,42141,42777cc7-16a5-4a94-8b70-8267b3c40467,3,How do I deposit a check from my phone?,1,1,0.9984597719606790
4753,12205,8ec26f0c-0acf-4f7d-847b-a04561049240,3,gift card ,0,0,0.8694125701050600
23285,58461,12cffe23-7924-4592-974c-fa037c8b87f7,15,i want to log in,0,0,0.9146591191857040
30709,76721,8a97ce60-8e5a-4230-a219-3ece03257545,7,I can't remember my member number ,0,0,0.8254481251410810
4991,12813,5c585156-b5ca-4aea-a201-7d0e748bb7fe,1,Agent,0,0,0.8078828732031510
20739,52175,bee6e887-0983-4b52-a37d-0ff8a7b0a2c7,3,How do I open more accounts?,1,1,0.9999998131159570
7804,19857,9402f55d-c7c5-448e-9e8e-3f00932767e5,5,How do I change my contact information?,1,1,0.9995845906666810
31337,78223,898bd8b1-3777-4d5d-9d03-feb528cf4709,7,Is there an email?,0,1,0.9506131987428150
22387,56264,4edfc288-100c-4048-a9cf-7a68abd04a89,3,How do I dispute a charge?,1,1,0.9999921010316020
26780,67222,11ab2047-6cd4-4739-be97-133ddf7a2af4,9,Become a Member,0,0,0.9602184866686990
937,2414,573d79cb-1c67-423d-9cb3-c624114f0bfe,5,What's my card's PIN?,1,1,0.9985596694080090
29824,74594,049e39b1-90fb-4f3d-9bff-a5dea9ccfc46,11,member log-in is not populating,0,0,0.9820595443846840
24994,62795,246ead35-ec92-4d43-891e-90e2224fa955,23,What's Regulation D?,1,1,0.999999852874509
12429,31390,f749d849-8251-46ca-ac93-2ea3c444ada1,1,what is the routing number?,1,1,0.996682653509011
31266,78052,78568152-3765-4822-a603-b2baf5419c1b,9,hardship,0,0,0.7962947182941510
28054,70305,a7a475a2-261e-4095-b44d-0c53306d7300,1,Can I deposit a check from my phone?,0,1,0.7348723790754640
2716,6964,1405e706-5497-4361-892f-1253b1674a77,1,I am trying to locate a notary republic.,0,0,0.7729880119583590
22814,57305,56020c97-5bf4-4d4a-9eb5-9bcba91d120f,1,Can’t log in my account ,0,0,0.8486782793436980
22574,56721,6227ed1c-3176-472d-9c25-5c913f590987,1,I'd like to become a member,0,0,0.9838462995957560
18401,46459,6e7be948-fcef-46be-90d4-6753e5cef006,1,Home equity loan,0,0,0.8106773578753010
8906,22611,2530ad63-5620-49e9-8939-7ca9ea8834ab,7,"No thanks. Found what I needed,",1,0,0.9991219516401930
23515,59030,b0b5342b-5df1-46d9-82ba-22060014da4e,17, .... . . . . ,0,0,0.7607104133583560
11909,30095,f55178a8-d678-4fef-9ec2-b174269a41db,5,routing,0,0,0.7385287332089570
14071,35588,3287cf23-50fa-41f8-b082-9c61de696d9d,5,CREDIT CARD,0,0,0.7623075653146400
29542,73911,0a2d8edb-0249-4a0f-affb-f96ef9462dc2,1,How can I apply for a loan?,1,1,0.9994542438001800
16590,41943,e709524c-9ba2-49e5-a242-be5c10ab29d6,1,trailer loan,0,0,0.6946845182685820
174,440,ea0d9088-c46f-4e81-aedc-3902e2e4193b,1,"What is the routing number for Lakeville, Minnesota?",1,1,0.9652631488115410
22543,56644,fb9f2d14-5aa0-4c96-9a97-71a2c50b86bb,25,shit,0,0,0.7607104133583560
21784,54772,1b6b1f3e-37e8-4c6e-bd02-a7ad47e9da3f,1,How can I get a card or become a member online ,1,1,0.9937978110208170
777,1995,849871cb-8c6f-4fdb-8012-5e0aeb2d7e0e,1,Bill pay is not working. When will it be up and running?,0,1,0.664681165619827
27736,69544,f368062a-19cd-44b2-bd97-700c412fa6ed,3,Check balance,0,0,0.7894232168226790
30937,77265,4ec19e6a-c59a-4b5e-b8cd-d5c67b8693ec,7,Paid a wrong bill.Want to paid the right out of my account,0,0,0.8933327249541560
9831,24891,7828afb6-da9c-49f7-85d8-42ce71490c62,3,What’s the number for a payment by phone,1,1,0.9962692491957470
11809,29849,1e0fa27b-4355-46a7-9b06-a8edf1fea3b1,5,Do affinity plus use zelle ,1,1,0.8747247706248040
10212,25835,2003f9de-7a83-40a8-9235-b36e01f210e3,1,Do debt cards attached to savings accounts have foreign transaction fees?,1,1,0.6059712601850010
7914,20137,1670a445-d9fc-4717-b4c8-1792691b24b3,1,Fraud transactions on my account.,0,0,0.8182177975794630
9211,23372,5e8eabb8-db91-4aa3-a1ae-43a3e1e65f27,7,What's the rate on your credit cards?,1,1,0.9931615888815500
18686,47166,8c3ecc99-c1f8-43ac-8a2f-2dacef5c9d13,5,How do I get a Verification of Deposit (VOD) letter?,1,1,0.9998586956554040
3995,10267,418f76fe-9de9-4f32-8a8a-716574033d01,1,I was wondering if it's possible to get a debit card for my checking account?,0,1,0.745674444671689
8511,21614,f2888c41-960b-44ef-bc78-7514a8d50029,3,How do I apply for the Paycheck Protection Program (PPP)?,1,1,0.9949618629195380
8066,20508,67a1dfad-79a3-46aa-9326-95e894c2d2ce,3,What's your SWIFT code for international wire transfers?,1,1,0.9895808452681520
16296,41191,e0def191-60c8-4644-a6e4-d06e97e4f8fb,3,What is the interest rate on a 2008 auto loan,1,1,0.989264901301318
9797,24808,13e9adaa-f852-45c9-bf37-e167ab0590e5,3,$511.52 went missing from my checking account. I want to find out what happened.,1,0,0.9618745826034770
18988,47914,9e21f0cb-a451-4294-9dc1-3b02bd56c345,3,I don't see my points,0,0,0.8324285546682670
29414,73604,1f26ecf0-b879-4e76-89c1-e6816156fee0,3,Stolen or replacement card,0,0,0.8274907895294610
8669,22011,81b149e2-0fec-4e94-8bb9-70e093b6635f,5,How do I transfer to other members?,1,1,0.9998971615124630
26110,65605,af17458a-40ce-4168-b614-f6f91c441618,5,What are my transfer limits?,1,1,0.9971843166739380
17531,44290,e1c00b32-5a35-4459-bc60-53146a22d67d,1,What's the routing number?,1,1,0.9998005996966780
12163,30713,380c10a1-f9ee-4b58-a021-2bc9e496731c,3,My debit card is going to expire soon,0,0,0.9138871424815670
1502,3843,a3f4de91-09a6-4803-bf3b-a32f4204e39e,3,no,0,0,0.9667813562102600
31194,77881,670c94d0-5489-4211-93e5-fc95cc06d018,1,Can I defer my Visa and holiday loan payments for 3 -4 months?,0,1,0.8640980767443690
31594,78842,d2870a2f-17f9-4a0e-94e6-23c1cd6bfb82,5,Just browsing,0,0,0.8183448515264400
12496,31554,07526a8a-54f1-498f-a146-c9e348c94316,5,i have restricted access,0,0,0.836209839693357
23241,58358,0bee3609-7676-4d4c-a1a3-1f6ac107fda2,3,Banking statement ,0,0,0.7827371208169500
25130,63132,43f51ee6-f07e-4e0f-8f24-aff50502f988,3,I want to talk to a real person,0,0,0.9100101160691470
14980,37908,f42bad2c-07d0-4a90-82dd-111ca1c75db5,13,are there fees for accounts,0,1,0.8735369573946750
15249,38595,1150d1bf-9dd3-442c-899a-6237c2755d3b,1,how do I check deposit by mail,1,1,0.9996813826822370
15920,40244,47804b19-9b0b-428f-a6b1-7fe1da1f0683,5,How do I get a replacement card?,1,1,0.9999582094783360
11463,28973,2b93f8b7-8b1c-4549-9ce4-9f994a094437,1,What's the best type of savings account for us,1,1,0.9978792134925120
1821,4631,e98894ac-628b-4e6e-8392-ecb9322b4fe1,9,Fha loan,0,0,0.6406482136882080
34242,85255,b2d6b4f9-a57f-4dbe-a585-1ce3cb2e285d,3,I was not sure of his request. How can I speak with a live person?,1,1,0.8577676754267920
10678,27004,43bfb405-d5bc-4969-8f9b-02c8784a4e20,5,What are your credit card benefits?,1,1,0.9851322823441480
22587,56749,dd42a317-0461-4a84-9e6a-9b58591274cf,1,Updated rates?,0,1,0.7633671388498280
8071,20520,efa04ce1-bdc5-400d-9732-ff83891fda64,3,I forgot my username ,0,0,0.7505348144938210
32473,80984,3b69899d-4e89-4498-958b-37d8478c81cf,1,When closed?,1,1,0.9977419570877420
34180,85111,ac302e7e-b188-4028-a380-935e85ec239c,1,I overpaid my visa balance can you refund the difference ,0,0,0.8356902216037010
404,1019,21366492-412a-4c8e-9182-6bfcabc4f888,1,routing number for checking account,0,0,0.9022385452064420
6504,16678,4893d7aa-300e-41da-8057-a08a04e7ee03,3,What loans do you have?,1,1,0.9998130997871740
1275,3268,39328c3a-7874-4cbf-ac01-dd6bfe7739f1,3,AGENT,0,0,0.8078828732031510
31119,77702,930a0b67-ac9b-4a49-b273-aa94414762a9,1,Actually I’m trying to find out how much money is on my card but I don’t remember my username and I don’t know but the last digits of my member number ,0,0,0.8228810732769760
32849,81901,4be3c601-621e-4843-acd8-89df9ebc7c61,1,I was trying to pay my Visa credit card through the Account Pay Now tab and it says it can't open in Safari. What has happened. I prefer paying directly to mail in.,0,0,0.6428052713128380
7384,18832,83f4d00b-577d-4b22-ad54-85cb24d01344,2,Rewards amazon gift card ,0,0,0.8589491889737030
24618,61838,abbdf4c1-4021-4714-98a9-63fc77930b6e,3,I want to know about the savings account you guys have,0,0,0.9321022093390770
10035,25391,08689358-7b0a-47e1-846c-8c3a27acf5ce,3,Bye!,0,0,0.7826936291784990
19870,50034,e88de9d5-c23e-40c1-ad27-85e0b0a555d0,5,What is your DDA number,1,1,0.9846624923862570
20301,51091,5324ef83-7ee9-4570-8b69-0bc914011bdf,9,How do I unfreeze my credit card,1,1,0.9996758332551230
32270,80496,4e72f7ad-b9e3-439e-a84b-90e4a8417543,3,digital banking,0,0,0.829370130119703
17524,44271,cfec78a9-2db6-43e9-859b-a9a682580b8d,3,What are your rates?,1,1,0.9923143708885210
22961,57669,caadc163-96fe-4853-90f0-7a0533f9ef5b,1,PPP,0,0,0.7733134543798330
5551,14244,31dbc9c9-1447-42b0-860c-ac758c1d9ef0,1,how much is a wire transfer,1,1,0.9920767665373440
27318,68519,caf58eb1-d290-4fc8-bf28-ae2d6c557439,1,What are the membership  criteria?,1,1,0.9950313336713260
3592,9224,fc7b8766-c828-419a-88ba-3d9271494884,3,Is the lobby open at the Duluth MN branch yet?,0,1,0.9658320321836710
33352,83108,4a9e5c42-e47b-4a1a-bc81-7b14ff5cd9e5,3,I need to reapply for my approved limit,0,0,0.8678548182667200
23043,57881,8529a836-7394-4917-971b-751364f8f69d,5,How do I apply for a loan?,1,1,0.9999882892924640
18735,47277,1bf0ba14-b020-4933-8d98-2e52a41bea5e,23,K m.j m d =e rhnt r. Mbv rmhm4hkem,0,0,0.7607104133583560
1447,3704,2976b900-d017-414a-be9a-f46c0da5b8c6,13,thanks,0,0,0.7607104133583560
8604,21840,5ba21d89-20ec-4e49-bc4f-744e222a76e5,1,Mortgage assistance ,0,0,0.7536303877216080
16263,41108,9d1ee05b-8f57-4954-99ff-714c20d018eb,1,Do you have graduate school loans for non business graduate degrees? Web page just says MBA.,0,1,0.6719955063068170
1346,3456,4fe0a0d7-df00-4f99-8055-f3a09de95c28,1,is brandi Donahue in the fergus falls branch on vacation today tried emailing her about a refinance?,0,1,0.9182717194169030
23732,59574,b273254a-a3d1-447e-83a1-7d443081ac84,1,opening a money market account,0,0,0.8535975318074590
10743,27169,87fc28c2-465d-4292-8c06-4cc93c1cca7f,3,How do I reset my username for my account?,1,1,0.981648328386193
16113,40726,1d21077b-984f-4876-8b45-5bde889cad58,1,"Please add a new feature to the loan calculator. The used automobile loan calculator is odd. If I want to buy a car and know the price, I would like the option to enter in the amount, the loan rate, the down payment, and the trade in value to see the monthly payments. I don't like the option of entering in a monthly payment to see what loan I can afford. That's not helpful to me. If anything, we should have both options to calculate our loans.",0,0,0.91960967439317
25747,64712,7a3e86de-3d13-439b-97d8-50519a0a250f,3,How do I chat with a real person,1,1,0.9995422922144460
18744,47302,6705f6cd-0264-43ab-9763-3159566aa6c1,3,Electronic Statements,0,0,0.8263160987215430
17746,44820,07386e01-2ed5-420b-beae-34cc07f3ebeb,3,What's my balance?,1,1,0.999413661788468
20874,52516,0e7d8650-43e2-4469-9cef-f60a7a4d7aa2,1,what address do i mail my home equity loan payment in,1,1,0.9975129301823050
2142,5467,c4fdad15-a6b7-42da-9bdf-c630a10af01d,3,How do I get to a real person,1,1,0.9999766834027620
15995,40427,2463fc41-d713-4a66-af93-4e9f3e66a7cc,1,order regular checks on line,0,0,0.8872526124776110
15493,39197,f46240c0-a336-4d46-8359-9131c4e9baf0,1,Stop payment on a check,0,0,0.7301201261115080
22280,56000,151d5f74-75d9-4671-aa5e-67343a406030,1,I forgot my username on the online mobile app,0,0,0.8685717130014350
16578,41914,97d96c63-a445-42c6-90f0-023369bff000,1,I need to pay a bill using a different card,0,0,0.9296550209395960
22188,55780,1d33aa45-69a7-429e-9a59-21d22dad1c91,1,Do you guys offer options for teenage debit cards??,1,1,0.566989884766877
12550,31691,b076e2c0-5a5c-40ec-b55b-326c2d33d8f5,7,Fraud,0,0,0.6852968763712350
15076,38155,69207682-827d-4414-8c3a-4747bd401eef,3,will you refinance a mortgage,0,1,0.7737080448611730
30819,76983,0a611c71-cbd1-4dbf-b729-d9062c1098bf,1,Card declined ,0,0,0.8195303822892140
30254,75625,e49d38f1-aac1-4cd5-8f19-4d7956a41baa,1,Are you all open,0,1,0.8694324184025710
32746,81651,d1180b66-5483-425d-94b8-bdebb26fcd4c,7,"Ok, thank you",0,0,0.7110661472552490
10836,27398,992aeb83-ac98-444f-a6ad-022aa3f28828,1,can you get a debit card in the mail ,0,1,0.7768309788123190
15671,39645,b209f448-4840-41b2-87b1-ef26bc7a7f8d,1,How do I find my loan details,1,1,0.9991896131965570
7192,18354,b657f1ad-68dc-4cc5-93eb-e18251ab587a,3,I don’t remember my pin for my credit card,0,0,0.7941859914983670
28489,71370,a1ef1dfc-c5f6-48d3-8efc-49f1d3a4729c,1,I need to update my phone number for verification.,0,0,0.9338871907912110
15293,38703,214df148-a8e3-452c-90f3-b891500916b9,7,Trying to figure out how this all works,1,0,0.9370351731164770
10070,25477,20ab16e6-8d80-470e-8385-1449463b40e3,1,Just checking out the IRA,0,0,0.899102128459781
22942,57621,fa136c67-b842-413f-9cd7-46412267f840,3,what is my account number,1,1,0.9912330984840290
11572,29250,4b02f7bf-dec0-4787-b1f5-2f076582ff60,3,Because of the stuff going on can we skip a payment for are personal loan,0,0,0.8614057684202740
33221,82787,05fb5c93-0047-44bf-9b71-f10a2d97a233,5,Do not have ATM card,1,0,0.6461861804467110
31048,77531,a7b29323-4a05-4ec1-a476-692a4fd2d948,1,access my account,0,0,0.8271340202879080
1964,5001,12c0eeff-fa2c-4868-9daa-6a0387416807,3,No is the lobby open,0,0,0.9786657701932590
13307,33635,3f5143a0-b326-4897-b755-4bdaf1f5da45,3,Third party check,0,0,0.778278884497385
7439,18966,d30cbcf1-0316-45ad-b32f-2728797d7d71,5,My credit score is 721 can I get credit card with it ?,0,1,0.8219112810080310
1993,5076,6c786094-8319-4b4c-b1e5-ceda3f6e118d,1,I’d like to check to make sure you have my soon-to-be-current address. I’m moving on 6/1/20,0,0,0.936475907400491
13883,35096,0e9ab4e8-c487-4706-86cf-f24073b19ba2,3,is there a cost?,0,1,0.9452496008563410
31400,78383,f9a9dafc-60cb-4197-bb08-0a080b2d6d99,1,Local branch,0,0,0.8763678214388780
3259,8368,cdf43abc-4da8-4a09-a1c9-b9aa7dfa0b07,3,Can cashier check be ordered online?,0,1,0.6307637450361550
17017,42993,20abe50f-02f2-47a7-9c6c-e05ad834182a,5,How do I open a checking account?,1,1,0.9999970753999070
31836,79433,89a5475c-66d8-427a-84e5-9da66490f29d,3,Yes,0,0,0.828695216970188
30600,76455,b3889562-5887-40e1-9505-f88f87749513,1,Product rates,0,0,0.7470139146205690
23333,58577,93db49ae-9477-4c9e-9261-2eb35c88321f,4,interest checking,0,0,0.8136564033614390
30000,75009,74c358bd-92e4-44d0-9f89-e1a5fcbd8558,1,Hello. My site isn't working. Is it down?,0,1,0.8826272857058630
12032,30393,f6a63c5a-5971-47f6-814e-bf6bcc94b72a,3,Can I turn my debit card off,0,1,0.8274426132097900
9139,23196,6fb74417-0c7b-44a5-a3ec-d8502d3b6eb3,1,pending loan application,0,0,0.7834173817314990
21232,53406,dadae232-3d80-4d2f-9335-88cfe4d4a2fa,1,Hi I'm wondering about my loan ,0,0,0.727510313983901
34199,85157,6c89afbb-7a2b-4c7e-a646-b3247a614227,1,Setup Mobile banking,0,0,0.772518704827066
27864,69850,a6a44cdf-ac17-4534-b137-8532857e9fe8,5,can't remember which email ,1,0,0.9893650080615800
3222,8281,4be045d6-23c7-4ea3-b6e9-f6a390815c1b,3,What if I don't have that phone number anymore,1,1,0.9961929406283790
26826,67339,e2e2554e-60e6-4997-85e3-4a854659596d,1,Replacement debit card did not arrive,0,0,0.9464091936140700
10072,25482,be3f6b70-637a-4a2f-9c94-90e1a3b0c40f,1,If I transfer money to another account how long is the wait ,1,1,0.9074905806823790
20156,50727,851fc421-01b8-4370-bf43-7e96e2b6cf7a,3,Debit card,0,0,0.7949582882078250
25338,63673,77b2c974-751d-4d87-82f1-341394c41619,3,replace debit card,0,0,0.8169158033409300
32844,81888,a210404f-bc08-4840-8f7b-37c9290ea512,9,What time does Northwest Plaza close today?,1,1,0.9972465704327930
3503,8981,9575e970-83c7-4efc-89cf-5b345f014f0d,3,how do I deposit a check without a deposit slip,1,1,0.9973599819195770
33604,83737,2ec68366-03fc-44f1-828c-dd514a33b1b4,9,Ok so yall do mortgage loans ,1,1,0.7010234095858730
19058,48088,dad1b336-8d42-49a2-9ad1-610aa46e4956,9,What is CPI?,1,1,0.9990772903952040
24858,62449,d4e7540d-21ad-4177-b731-f9d2ed29e987,1,Where do I get a replacement debit card,1,1,0.9972288235514370
27412,68750,2ddc1876-dbff-4cea-884a-ca88cfa9a476,1,get loan balance,0,0,0.5772255432497170
